id,item,open,high,low,close,up_or_down,version_date,mapping,date_number,year_number,month_number,day_number,refresh_date
10833,Au9999,242.5,242.5,240.8,240.89,-1.29,2013-12-04,-1.0,1204,2013,12,4,2023-01-24 16:54:24
10840,Au9999,246.68,246.68,241.0,243.51,2.62,2013-12-05,1.0,1205,2013,12,5,2023-01-24 16:54:24
10847,Au9999,246.0,246.0,240.8,243.5,-0.01,2013-12-06,-1.0,1206,2013,12,6,2023-01-24 16:54:24
10853,Au9999,242.75,245.0,240.6,243.99,0.49,2013-12-09,1.0,1209,2013,12,9,2023-01-24 16:54:24
10859,Au9999,245.0,245.3,243.36,244.96,0.97,2013-12-10,1.0,1210,2013,12,10,2023-01-24 16:54:24
10866,Au9999,245.96,247.3,245.2,246.71,1.75,2013-12-11,1.0,1211,2013,12,11,2023-01-24 16:54:24
10872,Au9999,247.85,247.85,246.0,246.0,-0.71,2013-12-12,-1.0,1212,2013,12,12,2023-01-24 16:54:24
10879,Au9999,244.0,244.4,241.15,242.08,-3.92,2013-12-13,-1.0,1213,2013,12,13,2023-01-24 16:54:24
10886,Au9999,242.48,242.9,241.74,242.75,0.67,2013-12-16,1.0,1216,2013,12,16,2023-01-24 16:54:24
10893,Au9999,253.58,253.58,249.86,250.9,-2.16,2013-11-19,-1.0,1119,2013,11,19,2023-01-24 16:54:24
10900,Au9999,252.38,252.38,250.6,251.21,0.31,2013-11-20,1.0,1120,2013,11,20,2023-01-24 16:54:24
10907,Au9999,251.21,251.21,245.81,246.17,-5.04,2013-11-21,-1.0,1121,2013,11,21,2023-01-24 16:54:24
10914,Au9999,247.38,247.38,244.5,245.67,-0.5,2013-11-22,-1.0,1122,2013,11,22,2023-01-24 16:54:24
10920,Au9999,246.3,246.55,243.3,243.32,-2.35,2013-11-25,-1.0,1125,2013,11,25,2023-01-24 16:54:24
10927,Au9999,243.98,247.38,243.0,247.32,4.0,2013-11-26,1.0,1126,2013,11,26,2023-01-24 16:54:24
10933,Au9999,247.32,247.32,245.18,245.93,-1.39,2013-11-27,-1.0,1127,2013,11,27,2023-01-24 16:54:24
10940,Au9999,246.45,246.8,244.0,244.6,-1.33,2013-11-28,-1.0,1128,2013,11,28,2023-01-24 16:54:24
10946,Au9999,245.85,245.85,244.2,244.71,0.11,2013-11-29,1.0,1129,2013,11,29,2023-01-24 16:54:24
10953,Au9999,246.1,246.3,245.12,245.8,1.09,2013-12-02,1.0,1202,2013,12,2,2023-01-24 16:54:24
10959,Au9999,261.85,261.85,258.7,258.75,0.34,2013-11-05,1.0,1105,2013,11,5,2023-01-24 16:54:24
10966,Au9999,259.85,259.9,257.7,258.11,-0.64,2013-11-06,-1.0,1106,2013,11,6,2023-01-24 16:54:24
10973,Au9999,266.5,266.5,258.35,259.01,0.9,2013-11-07,1.0,1107,2013,11,7,2023-01-24 16:54:24
10979,Au9999,259.9,259.9,256.5,257.52,-1.49,2013-11-08,-1.0,1108,2013,11,8,2023-01-24 16:54:24
10986,Au9999,257.0,257.94,252.1,253.29,-4.23,2013-11-11,-1.0,1111,2013,11,11,2023-01-24 16:54:24
10993,Au9999,254.58,254.58,251.1,251.96,-1.33,2013-11-12,-1.0,1112,2013,11,12,2023-01-24 16:54:24
11000,Au9999,252.99,253.0,249.77,250.98,-0.98,2013-11-13,-1.0,1113,2013,11,13,2023-01-24 16:54:24
11007,Au9999,252.4,253.5,250.6,253.0,2.02,2013-11-14,1.0,1114,2013,11,14,2023-01-24 16:54:24
11014,Au9999,252.1,254.5,252.1,253.0,0.0,2013-11-15,0.0,1115,2013,11,15,2023-01-24 16:54:24
11021,Au9999,253.57,253.63,252.61,253.06,0.06,2013-11-18,1.0,1118,2013,11,18,2023-01-24 16:54:24
11028,Au9999,261.5,261.5,259.06,259.5,-1.26,2013-10-22,-1.0,1022,2013,10,22,2023-01-24 16:54:24
11034,Au9999,262.98,264.5,261.5,262.49,2.99,2013-10-23,1.0,1023,2013,10,23,2023-01-24 16:54:24
11040,Au9999,262.7,263.0,260.0,262.67,0.18,2013-10-24,1.0,1024,2013,10,24,2023-01-24 16:54:24
11047,Au9999,266.0,266.0,262.5,262.86,0.19,2013-10-25,1.0,1025,2013,10,25,2023-01-24 16:54:24
11054,Au9999,262.99,264.75,262.5,264.13,1.27,2013-10-28,1.0,1028,2013,10,28,2023-01-24 16:54:24
11061,Au9999,266.0,266.0,264.2,264.2,0.07,2013-10-29,1.0,1029,2013,10,29,2023-01-24 16:54:24
11067,Au9999,265.4,265.4,262.55,263.92,-0.28,2013-10-30,-1.0,1030,2013,10,30,2023-01-24 16:54:24
11073,Au9999,265.98,265.98,261.6,262.25,-1.67,2013-10-31,-1.0,1031,2013,10,31,2023-01-24 16:54:24
11080,Au9999,262.25,262.25,259.95,260.69,-1.56,2013-11-01,-1.0,1101,2013,11,1,2023-01-24 16:54:24
11087,Au9999,259.0,259.88,258.05,258.41,-2.28,2013-11-04,-1.0,1104,2013,11,4,2023-01-24 16:54:24
11093,Au9999,360.0,365.2,360.0,364.91,3.84,2021-03-11,1.0,311,2021,3,11,2023-01-24 16:54:24
11106,Au9999,363.41,364.5,359.5,359.62,-5.29,2021-03-12,-1.0,312,2021,3,12,2023-01-24 16:54:24
11119,Au9999,365.44,365.44,358.34,362.88,3.26,2021-03-15,1.0,315,2021,3,15,2023-01-24 16:54:24
11132,Au9999,364.29,364.8,363.0,363.26,0.38,2021-03-16,1.0,316,2021,3,16,2023-01-24 16:54:24
11145,Au9999,364.89,365.68,363.5,364.7,1.44,2021-03-17,1.0,317,2021,3,17,2023-01-24 16:54:24
11159,Au9999,363.0,368.33,362.7,366.79,2.09,2021-03-18,1.0,318,2021,3,18,2023-01-24 16:54:24
11172,Au9999,364.51,367.0,362.02,366.64,-0.15,2021-03-19,-1.0,319,2021,3,19,2023-01-24 16:54:24
11185,Au9999,365.65,367.65,364.0,364.4,-2.24,2021-03-22,-1.0,322,2021,3,22,2023-01-24 16:54:24
11199,Au9999,364.31,366.26,364.0,366.2,1.8,2021-03-23,1.0,323,2021,3,23,2023-01-24 16:54:24
11212,Au9999,366.0,366.45,363.8,364.59,-1.61,2021-03-24,-1.0,324,2021,3,24,2023-01-24 16:54:24
11226,Au9999,366.56,368.0,363.59,367.99,2.83,2021-12-06,1.0,1206,2021,12,6,2023-01-24 16:54:24
11239,Au9999,368.89,368.89,366.4,367.47,-0.52,2021-12-07,-1.0,1207,2021,12,7,2023-01-24 16:54:24
11253,Au9999,367.47,376.18,365.3,367.73,0.26,2021-12-08,1.0,1208,2021,12,8,2023-01-24 16:54:24
11267,Au9999,366.4,367.3,365.6,366.67,-1.06,2021-12-09,-1.0,1209,2021,12,9,2023-01-24 16:54:24
11280,Au9999,365.8,367.1,364.5,365.85,-0.82,2021-12-10,-1.0,1210,2021,12,10,2023-01-24 16:54:24
11294,Au9999,365.5,367.77,365.21,367.52,1.67,2021-12-13,1.0,1213,2021,12,13,2023-01-24 16:54:24
11307,Au9999,369.0,369.0,366.8,367.63,0.11,2021-12-14,1.0,1214,2021,12,14,2023-01-24 16:54:24
11321,Au9999,366.9,366.9,363.6,363.94,-3.69,2021-12-15,-1.0,1215,2021,12,15,2023-01-24 16:54:24
11335,Au9999,365.0,367.75,363.41,367.35,3.41,2021-12-16,1.0,1216,2021,12,16,2023-01-24 16:54:24
11348,Au9999,367.5,372.1,366.5,371.99,4.64,2021-12-17,1.0,1217,2021,12,17,2023-01-24 16:54:24
11361,Au9999,371.53,373.5,371.0,371.0,-0.99,2021-12-20,-1.0,1220,2021,12,20,2023-01-24 16:54:24
11374,Au9999,369.51,371.0,368.4,368.9,-2.1,2021-12-21,-1.0,1221,2021,12,21,2023-01-24 16:54:24
11388,Au9999,371.09,371.09,367.8,367.8,-1.1,2021-12-22,-1.0,1222,2021,12,22,2023-01-24 16:54:24
11403,Au9999,369.0,372.02,368.5,371.82,4.02,2021-12-23,1.0,1223,2021,12,23,2023-01-24 16:54:24
11415,Au9999,371.5,372.89,370.1,372.69,0.87,2021-12-24,1.0,1224,2021,12,24,2023-01-24 16:54:24
11429,Au9999,371.6,372.94,371.51,372.27,-0.42,2021-12-27,-1.0,1227,2021,12,27,2023-01-24 16:54:24
11443,Au9999,378.8,378.8,260.88,373.55,1.28,2021-12-28,1.0,1228,2021,12,28,2023-01-24 16:54:24
11456,Au9999,373.6,373.8,371.15,371.61,-1.94,2021-12-29,-1.0,1229,2021,12,29,2023-01-24 16:54:24
11469,Au9999,360.8,371.1,280.01,369.79,-1.82,2021-12-30,-1.0,1230,2021,12,30,2023-01-24 16:54:24
11482,Au9999,370.7,374.48,369.7,373.85,4.06,2021-12-31,1.0,1231,2021,12,31,2023-01-24 16:54:24
11496,Au9999,373.0,373.0,371.0,371.3,-2.55,2022-01-04,-1.0,104,2022,1,4,2023-01-24 16:54:24
11510,Au9999,371.3,373.97,370.4,372.84,1.54,2022-01-05,1.0,105,2022,1,5,2023-01-24 16:54:24
11524,Au9999,373.6,374.8,369.7,370.84,-2.0,2022-01-06,-1.0,106,2022,1,6,2023-01-24 16:54:24
11538,Au9999,372.6,372.6,367.9,368.37,-2.47,2022-01-07,-1.0,107,2022,1,7,2023-01-24 16:54:24
11552,Au9999,380.68,384.35,379.9,384.04,4.14,2022-02-15,1.0,215,2022,2,15,2023-01-24 16:54:24
11565,Au9999,380.0,381.9,367.59,378.94,-5.1,2022-02-16,-1.0,216,2022,2,16,2023-01-24 16:54:24
11579,Au9999,378.52,382.8,378.01,382.29,3.35,2022-02-17,1.0,217,2022,2,17,2023-01-24 16:54:24
11592,Au9999,384.99,386.6,383.2,385.47,3.18,2022-02-18,1.0,218,2022,2,18,2023-01-24 16:54:24
11605,Au9999,385.47,387.29,384.1,385.28,-0.19,2022-02-21,-1.0,221,2022,2,21,2023-01-24 16:54:24
11619,Au9999,385.4,390.58,385.4,390.44,5.16,2022-02-22,1.0,222,2022,2,22,2023-01-24 16:54:24
11632,Au9999,386.36,388.29,385.98,386.41,-4.03,2022-02-23,-1.0,223,2022,2,23,2023-01-24 16:54:24
11645,Au9999,385.33,396.75,385.3,395.14,8.73,2022-02-24,1.0,224,2022,2,24,2023-01-24 16:54:24
11658,Au9999,396.8,399.99,388.0,389.61,-5.53,2022-02-25,-1.0,225,2022,2,25,2023-01-24 16:54:24
11671,Au9999,386.5,390.0,384.0,386.7,-2.91,2022-02-28,-1.0,228,2022,2,28,2023-01-24 16:54:24
11684,Au9999,387.5,389.5,385.0,387.9,1.2,2022-03-01,1.0,301,2022,3,1,2023-01-24 16:54:24
11698,Au9999,391.0,395.0,388.06,394.09,2.78,2022-03-17,1.0,317,2022,3,17,2023-01-24 16:54:24
11711,Au9999,395.9,397.49,393.4,395.64,1.55,2022-03-18,1.0,318,2022,3,18,2023-01-24 16:54:24
11724,Au9999,396.0,396.4,393.0,393.66,-1.98,2022-03-21,-1.0,321,2022,3,21,2023-01-24 16:54:24
11737,Au9999,393.16,397.78,393.0,396.25,2.59,2022-03-22,1.0,322,2022,3,22,2023-01-24 16:54:24
11751,Au9999,394.6,395.5,392.5,393.81,-2.44,2022-03-23,-1.0,323,2022,3,23,2023-01-24 16:54:24
11765,Au9999,396.0,399.59,396.0,398.0,4.19,2022-03-24,1.0,324,2022,3,24,2023-01-24 16:54:24
11778,Au9999,400.99,402.4,399.0,400.0,2.0,2022-03-25,1.0,325,2022,3,25,2023-01-24 16:54:24
11792,Au9999,398.5,401.6,396.5,396.5,-3.5,2022-03-28,-1.0,328,2022,3,28,2023-01-24 16:54:24
11805,Au9999,397.0,398.7,394.0,394.0,-2.5,2022-03-29,-1.0,329,2022,3,29,2023-01-24 16:54:24
11818,Au9999,391.5,394.54,387.7,393.84,-0.16,2022-03-30,-1.0,330,2022,3,30,2023-01-24 16:54:24
11831,Au9999,393.85,395.5,392.15,394.14,0.3,2022-03-31,1.0,331,2022,3,31,2023-01-24 16:54:24
11844,Au9999,394.3,396.8,392.61,395.2,1.06,2022-04-01,1.0,401,2022,4,1,2023-01-24 16:54:24
11857,Au9999,393.89,394.97,393.0,393.2,-2.0,2022-04-06,-1.0,406,2022,4,6,2023-01-24 16:54:24
11870,Au9999,393.02,395.52,393.02,394.3,1.1,2022-04-07,1.0,407,2022,4,7,2023-01-24 16:54:24
11885,Au9999,395.44,396.15,394.3,395.12,0.82,2022-04-08,1.0,408,2022,4,8,2023-01-24 16:54:24
11899,Au9999,265.0,265.0,262.5,263.2,-2.45,2013-10-08,-1.0,1008,2013,10,8,2023-01-24 16:54:24
11905,Au9999,264.95,264.95,261.8,262.1,-1.1,2013-10-09,-1.0,1009,2013,10,9,2023-01-24 16:54:24
11912,Au9999,262.1,262.1,259.0,259.8,-2.3,2013-10-10,-1.0,1010,2013,10,10,2023-01-24 16:54:24
11918,Au9999,259.8,259.8,256.5,257.77,-2.03,2013-10-11,-1.0,1011,2013,10,11,2023-01-24 16:54:24
11925,Au9999,253.0,255.5,252.5,255.25,-2.52,2013-10-14,-1.0,1014,2013,10,14,2023-01-24 16:54:24
